"TERYT Powiatu";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GRZEGORCZYK Hubert - KW PRAWO I SPRAWIEDLIWOŚĆ";"BORUSEWICZ Bogdan Michał - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZOSTAK Artur - KW POLSKA PARTIA PIRATÓW"
226100;"Gdańsk";"pomorskie";202;202;;;
226400;"Sopot";"pomorskie";23;23;;;
