powiat,okręg Sejm,okręg Senat
świdnicki_61700,6,15
rycki,6,14
radzyński,7,16
puławski,6,14
parczewski,7,16
opolski_61200,6,14
łukowski,6,14
łęczyński,6,15
lubelski,6,15
lubartowski,6,14
kraśnicki,6,15
krasnostawski,7,17
janowski,6,15
hrubieszowski,7,18
chełmski,7,17
biłgorajski,7,18
bialski,7,16
Włocławek,5,13
Toruń,5,11
Grudziądz,5,12
Bydgoszcz,4,9
żniński,4,10
włocławski,5,13
wąbrzeski,5,12
tucholski,4,9
toruński,5,11
świecki,4,9
sępoleński,4,10
rypiński,5,12
radziejowski,5,13
nakielski,4,10
mogileński,4,10
lipnowski,5,13
inowrocławski,4,10
grudziądzki,5,12
golubsko-dobrzyński,5,12
chełmiński,5,11
bydgoski,4,9
brodnicki,5,12
aleksandrowski,5,13
Wałbrzych,2,4
Wrocław,3,"Wrocław"
Legnica,1,3
Jelenia Góra,1,2
złotoryjski,1,2
zgorzelecki,1,1
ząbkowicki,2,5
wrocławski,3,6
wołowski,3,6
wałbrzyski,2,4
trzebnicki,3,6
świdnicki_21900,2,4
średzki_21800,3,6
strzeliński,3,6
polkowicki,1,3
oławski,3,6
oleśnicki,3,6
milicki,3,6
lwówecki,1,1
lubiński,1,3
lubański,1,1
legnicki,1,3
kłodzki,2,5
kamiennogórski,1,2
karkonoski,1,2
jaworski,1,2
górowski,3,6
głogowski,1,3
dzierżoniowski,2,5
bolesławiecki,1,1
