TERYT Powiatu,Powiat,Bezpartyjni,TD,Lewica,PiS,Konfederacja,KO
326300,Świnoujście,1.2819394785035318,9.889247405598676,15.391994418766897,26.135868143367922,5.376297200662771,41.9246533531002
326200,Szczecin,1.4937301915392034,12.192365991456525,9.914565247347388,25.592761012355886,5.96940884663084,44.837168710670156
326100,Koszalin,1.50406852248394,11.989721627408993,8.877087794432548,25.649678800856528,5.769593147751606,46.20985010706638
321800,łobeski,1.6607431340872374,17.537964458804524,7.883683360258481,36.219709208400644,5.777059773828756,30.920840064620354
321700,wałecki,1.4522903010558543,13.37677120540095,9.534089570985595,30.22726380657063,5.950465125407231,39.45911999057974
321600,świdwiński,1.4595476801119143,13.43436698531126,13.140592212636978,35.63534623455351,5.945441827931919,30.38470505945442
321500,szczecinecki,1.7378185069289227,10.954962002682164,7.635784532856505,35.89349575324095,6.222060795708538,37.55587840858292
321400,stargardzki,2.2508351441637204,13.122304024908377,8.293062627704083,32.2398079979243,6.251418934258749,37.84257127104077
321300,sławieński,2.4861185742432386,11.55292853304675,7.8953967401038865,34.80566003940534,6.60576750850797,36.654128604692815
321200,pyrzycki,2.193343203377749,13.582277786916707,7.934419038219005,42.671492021714094,6.190711191533695,27.427756758238747
321100,policki,1.5970436323558015,13.684005791714391,9.052795366628487,23.400255008320187,6.189354483175935,46.0765457178052
321000,myśliborski,1.7271556421518446,10.967273207621941,11.386678114989596,32.55506753409729,6.036788745417919,37.32703675572141
320900,koszaliński,2.173586267023419,15.602922165769776,7.362534948741846,31.064546192466103,6.959684935213301,36.83672549078556
320800,kołobrzeski,1.1955411844792376,11.568243703199457,8.587899931926481,30.552246426140233,5.009785568413887,43.086283185840706
320700,kamieński,1.4542703429724277,12.958137188971083,8.759246805648957,30.981002017484872,5.682582380632145,40.16476126429052
320600,gryfiński,1.6857530807265646,11.508211000947915,8.25967770860554,36.24369123562114,6.266492455102093,36.036174518996745
320500,gryficki,1.4364990165776903,15.675049171115482,9.033436358527675,33.51362742343355,5.4509693734195,34.8904186569261
320400,goleniowski,1.710072541324771,14.67713164466643,8.607444404804376,30.560114163396364,6.642882625758116,37.80235462004995
320300,drawski,1.5390490738972693,14.99713576475081,9.417605499331678,32.87760168035135,6.916173381707084,34.25243459996181
320200,choszczeński,1.7284522706209453,11.784059314179796,9.448563484708062,36.06580166821131,6.149212233549583,34.8239110287303
320100,białogardzki,1.54297614539947,10.620976902688376,8.25444907232109,33.401173797803864,6.347027641045059,39.83339644074214
306400,Poznań,1.369651193910018,15.727794463112193,14.114008742454429,18.629456718903327,5.657616937762051,44.50147194385798
