"Numer okręgu";"Liczba mandatów";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba OKW";"Opis granic"
34;1;4;0;0;"Tarnów";"obszary powiatów: bocheński, brzeski, proszowicki, wielicki"
35;1;5;0;0;"Tarnów";"obszary powiatów: dąbrowski, tarnowski oraz miasta na prawach powiatu: Tarnów"
36;1;3;0;0;"Nowy Sącz";"obszary powiatów: limanowski, nowotarski, tatrzański"
37;1;4;0;0;"Nowy Sącz";"obszary powiatów: gorlicki, nowosądecki oraz miasta na prawach powiatu: Nowy Sącz"
38;1;4;0;0;"Płock";"obszary powiatów: gostyniński, płocki, sierpecki, sochaczewski, żyrardowski oraz miasta na prawach powiatu: Płock"
39;1;3;0;0;"Płock";"obszary powiatów: ciechanowski, mławski, płoński, przasnyski, żuromiński"
40;1;4;0;0;"Warszawa";"obszary powiatów: legionowski, nowodworski, warszawski zachodni, wołomiński"
41;1;4;0;0;"Warszawa";"obszary powiatów: grodziski, otwocki, piaseczyński, pruszkowski"
42;1;2;0;0;"Warszawa";"część obszaru miasta na prawach powiatu Warszawa: Praga Południe, Praga Północ, Rembertów, Targówek, Wesoła"
43;1;2;0;0;"Warszawa";"część obszaru miasta na prawach powiatu Warszawa: Mokotów, Ursynów, Wawer, Wilanów"
44;1;2;0;0;"Warszawa";"część obszaru miasta na prawach powiatu Warszawa: Białołęka, Bielany, Śródmieście, Żoliborz; zagranica; statki"
45;1;2;0;0;"Warszawa";"część obszaru miasta na prawach powiatu Warszawa: Bemowo, Ochota, Ursus, Włochy, Wola"
46;1;6;0;0;"Siedlce";"obszary powiatów: makowski, ostrołęcki, ostrowski, pułtuski, wyszkowski oraz miasta na prawach powiatu: Ostrołęka"
47;1;2;0;0;"Siedlce";"obszary powiatów: garwoliński, miński, węgrowski"
48;1;4;0;0;"Siedlce";"obszary powiatów: łosicki, siedlecki, sokołowski oraz miasta na prawach powiatu: Siedlce"
49;1;3;0;0;"Radom";"obszary powiatów: białobrzeski, grójecki, kozienicki, przysuski"
50;1;5;0;0;"Radom";"obszary powiatów: lipski, radomski, szydłowiecki, zwoleński oraz miasta na prawach powiatu: Radom"
51;1;3;0;0;"Opole";"obszary powiatów: brzeski, kluczborski, namysłowski, nyski, prudnicki"
52;1;3;0;0;"Opole";"obszar powiatu: opolski oraz miasta na prawach powiatu: Opole"
53;1;3;0;0;"Opole";"obszary powiatów: głubczycki, kędzierzyńsko-kozielski, krapkowicki, oleski, strzelecki"
54;1;3;0;0;"Rzeszów";"obszary powiatów: leżajski, niżański, stalowowolski, tarnobrzeski oraz miasta na prawach powiatu: Tarnobrzeg"
55;1;3;0;0;"Rzeszów";"obszary powiatów: dębicki, kolbuszowski, mielecki, ropczycko-sędziszowski, strzyżowski"
56;1;4;0;0;"Rzeszów";"obszary powiatów: łańcucki, rzeszowski oraz miasta na prawach powiatu: Rzeszów"
57;1;4;0;0;"Krosno";"obszary powiatów: brzozowski, jasielski, krośnieński oraz miasta na prawach powiatu: Krosno"
58;1;5;0;0;"Krosno";"obszary powiatów: bieszczadzki, jarosławski, leski, lubaczowski, przemyski, przeworski, sanocki oraz miasta na prawach powiatu: Przemyśl"
59;1;3;0;0;"Białystok";"obszary powiatów: augustowski, grajewski, kolneński, łomżyński, moniecki, sejneński, suwalski, zambrowski oraz miast na prawach powiatu: Łomża i Suwałki"
60;1;3;0;0;"Białystok";"obszary powiatów: białostocki, sokólski oraz miasta na prawach powiatu: Białystok"
61;1;3;0;0;"Białystok";"obszary powiatów: bielski, hajnowski, siemiatycki, wysokomazowiecki"
62;1;3;0;0;"Słupsk";"obszary powiatów: lęborski, słupski, wejherowski oraz miasta na prawach powiatu: Słupsk"
63;1;4;0;0;"Słupsk";"obszary powiatów: bytowski, chojnicki, człuchowski, kartuski, kościerski"
64;1;2;0;0;"Słupsk";"obszar powiatu: pucki oraz miasta na prawach powiatu: Gdynia"
65;1;3;0;0;"Gdańsk";"obszary miast na prawach powiatu: Gdańsk, Sopot"
66;1;3;0;0;"Gdańsk";"obszary powiatów: gdański, starogardzki, tczewski"
67;1;4;0;0;"Gdańsk";"obszary powiatów: kwidzyński, malborski, nowodworski, sztumski"
68;1;5;0;0;"Częstochowa";"obszary powiatów: częstochowski, kłobucki, lubliniecki, myszkowski"
69;1;4;0;0;"Częstochowa";"obszar miasta na prawach powiatu: Częstochowa"
70;1;2;0;0;"Katowice";"obszary powiatów: gliwicki, tarnogórski oraz miasta na prawach powiatu: Gliwice"
71;1;3;0;0;"Katowice";"obszary miast na prawach powiatu: Bytom, Zabrze"
72;1;4;0;0;"Bielsko-Biała";"obszary powiatów: raciborski, wodzisławski oraz miast na prawach powiatu: Jastrzębie-Zdrój, Żory"
73;1;4;0;0;"Bielsko-Biała";"obszary powiatów: mikołowski, rybnicki oraz miasta na prawach powiatu: Rybnik"
74;1;4;0;0;"Katowice";"obszar miast na prawach powiatu: Chorzów, Piekary Śląskie, Ruda Śląska, Siemianowice Śląskie, Świętochłowice"
75;1;3;0;0;"Katowice";"obszar powiatu: bieruńsko-lędziński oraz miast na prawach powiatu: Mysłowice, Tychy"
76;1;4;0;0;"Katowice";"obszary powiatów: będziński, zawierciański oraz miasta na prawach powiatu: Dąbrowa Górnicza"
77;1;3;0;0;"Katowice";"obszary miast na prawach powiatu: Jaworzno, Sosnowiec"
78;1;4;0;0;"Bielsko-Biała";"obszary powiatów: bielski, pszczyński oraz miasta na prawach powiatu: Bielsko-Biała"
79;1;4;0;0;"Bielsko-Biała";"obszary powiatów: cieszyński, żywiecki"
80;1;3;0;0;"Katowice";"obszar miasta na prawach powiatu: Katowice"
81;1;5;0;0;"Kielce";"obszary powiatów: buski, jędrzejowski, kazimierski, konecki, pińczowski, staszowski, włoszczowski"
82;1;5;0;0;"Kielce";"obszary powiatów: opatowski, ostrowiecki, sandomierski, skarżyski, starachowicki"
