powiat,populacja
rawicki,45890
słupecki,45616
szamotulski,71597
średzki_302500,46412
śremski,46771
turecki,63551
wągrowiecki,52289
wolsztyński,43483
wrzesiński,59547
złotowski,51313
Kalisz,72497
Konin,53896
Leszno,45909
Poznań,415962
białogardzki,34116
choszczeński,35319
drawski,42044
goleniowski,62594
gryficki,45286
gryfiński,60559
kamieński,37909
kołobrzeski,72192
koszaliński,51736
łobeski,26232
myśliborski,47979
policki,61655
pyrzycki,28789
sławieński,44902
stargardzki,89668
szczecinecki,56381
świdwiński,34627
wałecki,38588
Koszalin,80368
Szczecin,290885
Świnoujście,33752
